experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_deepseek_v4pro_50,run_002,run_028,0.0,0.044,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_029,0.0,0.051,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_030,0.0,0.033,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_031,0.0,0.083,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_032,0.0,0.0,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_033,0.0,0.053,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_034,0.0,0.0,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_035,0.0,0.0,0.047,0.0,False,False
real_deepseek_v4pro_50,run_002,run_036,0.0,0.073,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_037,0.0,0.029,0.005,0.0,False,False
real_deepseek_v4pro_50,run_002,run_038,0.0,0.046,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_039,0.0,0.029,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_040,0.0,0.05,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_041,0.0,0.03,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_042,0.0,0.0,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_043,0.0,0.051,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_044,0.0,0.057,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_045,0.0,0.0,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_046,0.0,0.065,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_047,0.0,0.022,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_048,0.0,0.033,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_049,0.0,0.029,0.0,0.0,False,False
real_deepseek_v4pro_50,run_002,run_050,0.0,0.032,0.0,0.0,False,False
real_deepseek_v4pro_50,run_003,run_004,0.025,0.51,0.031,0.25,False,True
real_deepseek_v4pro_50,run_003,run_005,0.04,0.206,0.031,0.333,False,False
real_deepseek_v4pro_50,run_003,run_006,0.061,0.362,0.049,0.5,False,False
real_deepseek_v4pro_50,run_003,run_007,0.092,0.928,0.042,0.333,True,True
real_deepseek_v4pro_50,run_003,run_008,0.066,0.259,0.053,0.5,False,False
real_deepseek_v4pro_50,run_003,run_009,0.056,0.222,0.023,0.0,True,True
real_deepseek_v4pro_50,run_003,run_010,0.01,0.053,0.018,0.0,False,False
real_deepseek_v4pro_50,run_003,run_011,0.053,0.202,0.026,0.333,False,False
real_deepseek_v4pro_50,run_003,run_012,0.022,0.077,0.133,0.0,False,True
real_deepseek_v4pro_50,run_003,run_013,0.045,0.35,0.088,0.5,False,False
real_deepseek_v4pro_50,run_003,run_014,0.042,0.235,0.035,0.0,False,True
real_deepseek_v4pro_50,run_003,run_015,0.035,0.542,0.136,0.333,True,True
real_deepseek_v4pro_50,run_003,run_016,0.041,0.562,0.007,0.5,True,True
real_deepseek_v4pro_50,run_003,run_017,0.024,0.513,0.02,0.2,False,True
