experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gpt56sol_med_50,run_002,run_030,0.094,0.373,0.051,1.0,True,True
real_gpt56sol_med_50,run_002,run_031,0.187,0.206,0.034,0.0,True,True
real_gpt56sol_med_50,run_002,run_032,0.302,0.056,0.029,0.0,False,True
real_gpt56sol_med_50,run_002,run_033,0.143,0.258,0.035,1.0,True,True
real_gpt56sol_med_50,run_002,run_034,0.152,0.055,0.044,0.0,True,True
real_gpt56sol_med_50,run_002,run_035,0.326,0.34,0.061,0.0,False,False
real_gpt56sol_med_50,run_002,run_036,0.148,0.355,0.062,0.0,True,True
real_gpt56sol_med_50,run_002,run_037,0.222,0.39,0.018,1.0,True,True
real_gpt56sol_med_50,run_002,run_038,0.17,0.22,0.017,0.0,True,True
real_gpt56sol_med_50,run_002,run_039,0.191,0.09,0.113,0.0,False,True
real_gpt56sol_med_50,run_002,run_040,0.135,0.379,0.013,0.0,True,True
real_gpt56sol_med_50,run_002,run_041,0.144,0.192,0.052,0.0,False,False
real_gpt56sol_med_50,run_002,run_042,0.118,0.337,0.057,1.0,True,True
real_gpt56sol_med_50,run_002,run_043,0.126,0.146,0.034,0.0,False,False
real_gpt56sol_med_50,run_002,run_044,0.187,0.424,0.048,1.0,True,True
real_gpt56sol_med_50,run_002,run_045,0.219,0.597,0.025,1.0,True,True
real_gpt56sol_med_50,run_002,run_046,0.209,0.35,0.111,0.0,True,True
real_gpt56sol_med_50,run_002,run_047,0.47,0.545,0.005,1.0,True,True
real_gpt56sol_med_50,run_002,run_048,0.22,0.179,0.059,1.0,True,True
real_gpt56sol_med_50,run_002,run_049,0.135,0.41,0.026,0.0,True,True
real_gpt56sol_med_50,run_002,run_050,0.231,0.436,0.035,1.0,True,True
real_gpt56sol_med_50,run_003,run_004,0.114,0.347,0.059,1.0,False,False
real_gpt56sol_med_50,run_003,run_005,0.148,0.234,0.029,0.0,False,False
real_gpt56sol_med_50,run_003,run_006,0.133,0.134,0.036,1.0,True,True
real_gpt56sol_med_50,run_003,run_007,0.073,0.11,0.287,1.0,True,True
real_gpt56sol_med_50,run_003,run_008,0.176,0.278,0.082,1.0,False,False
real_gpt56sol_med_50,run_003,run_009,0.08,0.491,0.062,1.0,True,True
real_gpt56sol_med_50,run_003,run_010,0.165,0.423,0.074,1.0,False,False
real_gpt56sol_med_50,run_003,run_011,0.207,0.431,0.202,0.0,False,False
real_gpt56sol_med_50,run_003,run_012,0.114,0.481,0.061,1.0,True,True
real_gpt56sol_med_50,run_003,run_013,0.112,0.176,0.008,1.0,False,False
real_gpt56sol_med_50,run_003,run_014,0.077,0.234,0.01,0.0,False,False
real_gpt56sol_med_50,run_003,run_015,0.124,0.392,0.206,1.0,False,False
real_gpt56sol_med_50,run_003,run_016,0.102,0.054,0.074,1.0,False,True
real_gpt56sol_med_50,run_003,run_017,0.201,0.209,0.178,0.0,False,False
real_gpt56sol_med_50,run_003,run_018,0.114,0.229,0.154,0.0,False,False
real_gpt56sol_med_50,run_003,run_019,0.13,0.378,0.014,1.0,False,False
